2019-09-03 12:52:19,739 DEBUG Training subset = ['age' 'sex' 'cp'], Timing = 0.05495476722717285, Size (Kb) = 0.0546875
2019-09-03 12:52:19,739 DEBUG Training subset = ['age' 'sex' 'cp'], Timing = 0.05495476722717285, Size (Kb) = 0.0546875
2019-09-03 12:52:19,751 DEBUG Training subset = ['age' 'sex' 'trestbps'], Timing = 0.010031700134277344, Size (Kb) = 0.0546875
2019-09-03 12:52:19,751 DEBUG Training subset = ['age' 'sex' 'trestbps'], Timing = 0.010031700134277344, Size (Kb) = 0.0546875
2019-09-03 12:52:19,760 DEBUG Training subset = ['age' 'sex' 'chol'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,760 DEBUG Training subset = ['age' 'sex' 'chol'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,770 DEBUG Training subset = ['age' 'sex' 'fbs'], Timing = 0.009030580520629883, Size (Kb) = 0.0546875
2019-09-03 12:52:19,770 DEBUG Training subset = ['age' 'sex' 'fbs'], Timing = 0.009030580520629883, Size (Kb) = 0.0546875
2019-09-03 12:52:19,780 DEBUG Training subset = ['age' 'sex' 'restecg'], Timing = 0.008005142211914062, Size (Kb) = 0.0546875
2019-09-03 12:52:19,780 DEBUG Training subset = ['age' 'sex' 'restecg'], Timing = 0.008005142211914062, Size (Kb) = 0.0546875
2019-09-03 12:52:19,788 DEBUG Training subset = ['age' 'sex' 'thalach'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,788 DEBUG Training subset = ['age' 'sex' 'thalach'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,798 DEBUG Training subset = ['age' 'sex' 'exang'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,798 DEBUG Training subset = ['age' 'sex' 'exang'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,807 DEBUG Training subset = ['age' 'sex' 'oldpeak'], Timing = 0.008979320526123047, Size (Kb) = 0.0546875
2019-09-03 12:52:19,807 DEBUG Training subset = ['age' 'sex' 'oldpeak'], Timing = 0.008979320526123047, Size (Kb) = 0.0546875
2019-09-03 12:52:19,815 DEBUG Training subset = ['age' 'sex' 'slope'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:19,815 DEBUG Training subset = ['age' 'sex' 'slope'], Timing = 0.007004976272583008, Size (Kb) = 0.0546875
2019-09-03 12:52:19,824 DEBUG Training subset = ['age' 'sex' 'ca'], Timing = 0.00800633430480957, Size (Kb) = 0.0546875
2019-09-03 12:52:19,824 DEBUG Training subset = ['age' 'sex' 'ca'], Timing = 0.00800633430480957, Size (Kb) = 0.0546875
2019-09-03 12:52:19,833 DEBUG Training subset = ['age' 'sex' 'thal'], Timing = 0.008012771606445312, Size (Kb) = 0.0546875
